"NUKLOROBERT FRANK J","USER-2113","9809234805"
"CHENEY LILA","USER-2114","8954832205"
"JORNICK","USER-2115","6646465134"
"MAA-GOR","USER-2116","2197694243"
"OSAMA","USER-2117","9848537643"
"AYALA FILIPPO","USER-2118","3477388433"
"CONTROLLERBASIL SAN","USER-2119","6350563364"
"SALOME","USER-2120","1913151558"
"SISTER NIL","USER-2121","4356762123"
"NOBLE","USER-2122","7960852082"
"VOICE","USER-2123","1940328177"
"MCDOWELL SCOTTY","USER-2124","3649755370"
"WALSH CAPT. ALEXAND","USER-2125","8220948004"
"DANSEN MACABRE","USER-2126","3616508940"
"COWEN BUCK","USER-2127","7141156714"
"TATTERDEMALION","USER-2128","4476558493"
"MR. FEAR IVALAN FAG","USER-2129","2110472573"
"MOONDARK","USER-2130","6699484639"
"KILLER SHRIKESIMON ","USER-2131","2128589710"
"IRONWOOD CISSY","USER-2132","3313749500"
"MODULAR MANSTEPHEN ","USER-2133","6849367535"
"NAZE","USER-2134","0962954235"
"SHARD","USER-2135","6294777169"
"HAVENRADHA DASTOOR","USER-2136","4221476874"
"RAWHIDE KID","USER-2137","9272626167"
"KID COLT","USER-2138","3866877032"
"ASH BRANDY","USER-2139","1000896123"
"BROKEN MAN","USER-2140","0816588068"
"MR. SCRATCH","USER-2141","2707714885"
"QABIRI","USER-2142","0117377198"
"MARCHALLA","USER-2143","1424135066"
"URCHALLA","USER-2144","2087792859"
"MARCHALLA II","USER-2145","0445316929"
"FORGE | EARTH 998","USER-2146","6708545989"
"BEYNON DR. BRADLEY","USER-2147","9580142882"
"TORGO","USER-2148","8285701638"
"BEREET","USER-2149","4273958229"
"DARK CRAWLER","USER-2150","6047701380"
"NIGHT FLYER","USER-2151","0187035845"
"SHOOTING STAR","USER-2152","3861674002"
"NIGHT RIDER IIIHAMI","USER-2153","6402611396"
"BANSHEE II","USER-2154","7727017641"
"LANDSLIDE","USER-2155","4430900389"
"VON RICHTOFEN LT. M","USER-2156","9753591193"
"GNUCCI MA","USER-2157","2736565440"
"CORSAIR","USER-2158","2382280157"
"OHOOLIHAN SERGIUS","USER-2159","7795716446"
"DRAKE FRANKLIN","USER-2160","6985076320"
"HARKER QUINCY","USER-2161","8385034544"
"MOLE","USER-2162","3888676064"
"JONES CHARLOTTE","USER-2163","6388991951"
"TANAKA OPAL","USER-2164","5764285726"
"PHOENIX II","USER-2165","1070728590"
"CREEP","USER-2166","4471869928"
"MONGRAIN ALISON","USER-2167","2900023050"
"DESTINYPAUL DESTINE","USER-2168","2958473781"
"IKTHON","USER-2169","6646459873"
"BADALAMENTE JESUS","USER-2170","0610032529"
"CONOVER ALYSSA","USER-2171","1268401972"
"MR. FX","USER-2172","2792017773"
"COOPER WHITNEY III","USER-2173","4813219174"
"CROSS HAROLD","USER-2174","0002535053"
"LULLABYFELICITY HOP","USER-2175","6128063611"
"PEREZ DET. CECILIA","USER-2176","3257758034"
"SMITH COL. TOLLIVER","USER-2177","9377069889"
"LOVEJOY FRANKLIN","USER-2178","8320699455"
"CRIMEWAVE","USER-2179","4594105077"
"SHERIDAN FLORENCE","USER-2180","3998124405"
"MISSING LINK IIRAY ","USER-2181","4258040454"
"MASTER LINKWILLIS H","USER-2182","0539919032"
"SHERIDAN WILLIAM","USER-2183","5780913295"
"UPLINKHECTOR FUENTE","USER-2184","1403700709"
"WEAK LINKERNIE MILL","USER-2185","8926478588"
"BOOKWORMNELSON GRUB","USER-2186","4916235024"
"HUDDLESTON PROF.","USER-2187","5813529816"
"8-BALL","USER-2188","9638783558"
"EPSTEIN MRS.","USER-2189","3562036433"
"BAYLOR FRANK","USER-2190","8919629585"
"MCMURRAY YVONNE","USER-2191","0612217366"
"EPSTEIN MORRIS","USER-2192","5613809621"
"FOOLKILLER IIIKURT ","USER-2193","9213677118"
"MOODY RUNYAN","USER-2194","5915826728"
"WHITMAN PATRICIA","USER-2195","0544758062"
"SINGER MERLE","USER-2196","8976707882"
"MENDOSA EMILIO","USER-2197","8696201902"
"CAT MAN III","USER-2198","3602066599"
"APE MAN IIROY MCVEY","USER-2199","9136729792"
"BIRD MAN III","USER-2200","1333552127"
"DUSK","USER-2201","1144244655"
"SHOCNEIL AIKEN","USER-2202","1812822978"
"CHI-CHEE","USER-2203","6183869023"
"SCENE STEALER","USER-2204","4942927580"
"MAINSPRING","USER-2205","4429751538"
"HOPE","USER-2206","1048788821"
"PSIREN","USER-2207","6657689331"
"DOUGHBOY","USER-2208","7108323756"
"CHAKRA II","USER-2209","5556579308"
"NOM","USER-2210","7212186633"
"PENDRAGON ARTHUR","USER-2211","6405495359"
"MERLIN","USER-2212","7574914052"
"FIN FANG FOOMMIDGAR","USER-2213","8865691662"
"SAPPER","USER-2214","5898312267"
"WAR MACHINE IIPARNE","USER-2215","3912540393"
"JACOBS GLENDA","USER-2216","6935218884"
"MADAME MENACESUNSET","USER-2217","6190694086"
"DIXON GENERAL","USER-2218","0031730979"
"GOLDEN-BLADE","USER-2219","5525558184"
"RAMPAGESTUART CLARK","USER-2220","6018286374"
"NAPIER RAMONA DR.","USER-2221","6007420841"
"DONLEAVY HANNAH","USER-2222","5765153026"
"YUAN ANNIE","USER-2223","8405907816"
"GRAY CHARLES","USER-2224","2539139153"
"YUAN BILLY","USER-2225","5409897101"
"YEAGER CALLIE","USER-2226","2302358167"
"GALLAGHER BOB","USER-2227","6159166284"
"VOSTOK","USER-2228","3063333125"
"FANTASMA","USER-2229","1625693880"
"MADAME MASQUE IV","USER-2230","3610471019"
"SIBERCAT","USER-2231","2548038659"
"POWERSURGEILLARION ","USER-2232","1406880991"
"RED GUARDIAN V","USER-2233","2265573242"
"BURKE THERESA TRACY","USER-2234","3387222865"
"PLEXICO DET.","USER-2235","9790053800"
"PROFESSOR GIBBON","USER-2236","0416151358"
"BOMBSHELL","USER-2237","9524883743"
"ODDBALLELTON HEALEY","USER-2238","3928375328"
"CROSSFIRE","USER-2239","3792831388"
"MANTIS? BRANDT","USER-2240","8899982841"
"PHANTOM RIDER IIHAM","USER-2241","5876684449"
"DELPHIS SIR","USER-2242","2422109541"
"STRYKER WILLIS","USER-2243","5344002324"
"VERMIN LADY","USER-2244","7885327933"
"EXODUSBENNET DUPARI","USER-2245","2094588288"
"BUCHOVITZ STANLEY &","USER-2246","3929800453"
"GATOR LORD","USER-2247","6742728046"
"RAM SIR","USER-2248","8271421579"
"TYGER LORD","USER-2249","7730046589"
"BOVA","USER-2250","9925737610"
"URSULA LADY","USER-2251","4597465585"
"WHITE TIGER II","USER-2252","9172614956"
"GARGOUILLE","USER-2253","8304113936"
"DRAKE MALCOLM","USER-2254","4519887440"
"MALEKITHMALCOLM KEI","USER-2255","5533664746"
"BEHEMOTH","USER-2256","7034020130"
"MASTERESHU","USER-2257","2247762827"
"DEMI-GOD","USER-2258","9585187788"
"SHE-CAT","USER-2259","3167485120"
"X-RAY","USER-2260","4622155490"
"IRONCLAD","USER-2261","6296939157"
"STINGER IV","USER-2262","7459728811"
"VECTOR","USER-2263","1267793989"
"VAPOR","USER-2264","6433172987"
"DRAGONFIST","USER-2265","2203019516"
"KNIGHT ERRANT II","USER-2266","6036477398"
"AMAZON","USER-2267","2275746633"
"SWORDSMAN IICOTATI","USER-2268","4641330152"
"HESSLER WOLFGANG","USER-2269","6711092771"
"CARDINALCLEMDENON","USER-2270","7131432168"
"WIDDOWS SGT.","USER-2271","4852622604"
"CHANCE IINICHOLAS P","USER-2272","0902683485"
"THUNDRA","USER-2273","2847282029"
"BRUTEREED RICHARDS ","USER-2274","4178856028"
"CONWAY GERRY","USER-2275","1197184677"
"VERPOORTEN JOHN","USER-2276","9422919974"
"KIRBY JACK","USER-2277","1946234183"
"WOLFMAN MARV","USER-2278","0922458620"
"PEREZ GEORGE","USER-2279","1286333233"
"CAPTAIN ULTRAGRIFFI","USER-2280","5146857386"
"GORR","USER-2281","4271877581"
